date_day,icd10_code_001_J12.8,icd10_code_002_I10.90,icd10_code_003_J96.00,icd10_code_004_Z22.8,icd10_code_005_B33.8,icd10_cat_001_E87,icd10_cat_002_J12,icd10_cat_003_J96,icd10_cat_004_I10,icd10_cat_005_N18,icd10_chap_001_R,icd10_chap_002_I,icd10_chap_003_E,icd10_chap_004_J,icd10_chap_005_Z
2020-05-16,NA,18,NA,NA,NA,6,NA,6,18,12,32,38,28,13,30
2020-05-17,NA,18,NA,NA,NA,8,NA,5,20,10,41,47,37,12,44
2020-05-18,NA,47,NA,NA,NA,21,NA,7,48,21,67,105,97,22,120
2020-05-19,NA,50,NA,NA,NA,16,NA,5,51,26,56,106,88,38,95
2020-05-20,NA,29,NA,NA,NA,12,NA,12,35,15,57,77,73,29,84
2020-05-21,NA,14,NA,NA,NA,5,NA,NA,16,6,49,35,29,14,44
2020-05-22,NA,36,NA,NA,NA,13,NA,8,37,19,44,74,63,24,72
2020-05-23,NA,8,NA,NA,NA,9,NA,NA,8,9,31,26,25,14,36
2020-05-24,NA,11,NA,NA,NA,8,NA,NA,12,12,23,32,26,11,31
2020-05-25,NA,59,NA,NA,NA,12,NA,8,62,30,65,116,108,40,118
2020-05-26,NA,49,NA,NA,NA,17,NA,9,49,28,57,107,82,30,100
2020-05-27,NA,48,NA,NA,NA,11,NA,NA,50,16,44,97,78,20,81
2020-05-28,NA,59,5,NA,NA,11,NA,9,60,23,59,109,75,43,119
2020-05-29,NA,33,NA,NA,NA,18,NA,7,33,23,52,74,60,33,81
2020-05-30,NA,10,5,NA,NA,13,NA,7,14,8,28,30,35,18,28
2020-05-31,NA,14,NA,NA,NA,14,NA,NA,15,12,43,37,30,15,40
2020-06-01,NA,24,NA,NA,NA,9,NA,6,27,16,45,55,34,18,59
2020-06-02,NA,43,NA,NA,NA,20,NA,9,49,34,60,108,87,41,103
2020-06-03,NA,48,NA,NA,NA,11,NA,NA,49,23,58,100,78,22,110
2020-06-04,NA,42,NA,NA,NA,16,NA,6,45,25,64,98,82,26,84
