number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_lstm,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,010,base,006,7,7,7,002,007,11.90096091403381,23.10318314833242,001,2,64,8,relu,relu,adam,0.001,mse,10
001,010,base,007,7,7,14,002,007,12.822657291097018,28.625850455709813,001,2,64,16,relu,relu,adam,5e-4,mse,10
001,010,base,008,7,7,21,002,007,13.962387983687966,38.89207859961833,001,2,16,8,relu,relu,adam,0.001,mse,10
001,010,base,009,7,7,28,002,007,12.12722638062909,55.25999021204975,001,2,16,16,relu,relu,adam,0.005,mse,10
001,010,base,010,7,7,35,002,007,13.961625781787676,59.76617706581801,001,1,16,0,relu,none,adam,0.005,mse,10
001,010,base,011,14,7,7,002,007,15.88275573974416,34.25543348559503,001,2,32,8,relu,relu,adam,0.001,mse,10
001,010,base,012,14,7,14,002,007,17.76248775944084,38.500996813338766,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,013,14,7,21,002,007,18.811434005508925,51.727826163032674,001,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,014,14,7,28,002,007,19.908292314093554,61.0172197344658,001,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,015,14,7,35,002,007,20.17705857102961,59.988198201021454,001,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,016,21,7,7,002,007,11.279258307435756,44.76418684202715,001,1,32,0,relu,none,adam,0.002,mse,100
001,010,base,017,21,7,14,002,007,19.498454926536287,52.04701690353266,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,018,21,7,21,002,007,19.706174346499957,56.29916363227182,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,019,21,7,28,002,007,19.271706106578996,66.5433413474004,001,2,32,16,relu,relu,adam,5e-4,mse,10
001,010,base,020,21,7,35,002,007,19.40242654073326,66.13571869862015,001,2,16,32,relu,relu,adam,5e-4,mse,10
001,010,base,021,28,7,7,002,007,20.568540151598274,60.920855949127805,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,022,28,7,14,002,007,12.80344415344862,66.29516225385798,001,1,16,0,relu,none,adam,0.005,mse,100
001,010,base,023,28,7,21,002,007,21.08030407472325,62.03409668066509,001,1,16,0,relu,none,adam,5e-4,mse,10
001,010,base,024,28,7,28,002,007,19.777823371890868,70.99201464803247,001,2,16,32,relu,relu,adam,5e-4,mse,10
001,010,base,025,28,7,35,002,007,17.916905445731626,82.7702516163038,001,2,64,8,relu,relu,adam,5e-4,mse,10
001,010,base,001,0,7,7,002,008,11.139794499315613,21.994744966719058,001,1,16,0,relu,none,adam,5e-4,mse,50
001,010,base,002,0,7,14,002,008,13.833934497574587,27.288385635007106,001,1,16,0,relu,none,adam,0.002,mse,10
001,010,base,003,0,7,21,002,008,13.860205712859347,21.03416239174596,001,2,16,32,relu,relu,adam,0.005,mse,100
001,010,base,004,0,7,28,002,008,17.905524561426652,27.296290469883594,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,005,0,7,35,002,008,19.41918090982608,26.7290518271627,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,006,7,7,7,002,008,16.393709099020374,32.84827840815641,001,2,16,16,relu,relu,adam,0.002,mse,10
001,010,base,007,7,7,14,002,008,19.406371464389068,25.627624168231726,001,2,64,32,relu,relu,adam,0.005,mse,100
001,010,base,008,7,7,21,002,008,19.536440373727796,28.1309027728462,001,1,16,0,relu,none,adam,0.005,mse,100
001,010,base,009,7,7,28,002,008,22.268930368852466,30.87814750579606,001,2,64,8,relu,relu,adam,0.005,mse,100
001,010,base,010,7,7,35,002,008,24.954183901947093,33.885521156454274,001,2,64,16,relu,relu,adam,0.005,mse,50
001,010,base,011,14,7,7,002,008,21.898339001126057,33.277495205304675,001,2,16,8,relu,relu,adam,5e-4,mse,10
001,010,base,012,14,7,14,002,008,21.096667483049657,30.064645538427293,001,2,16,8,relu,relu,adam,0.005,mse,50
001,010,base,013,14,7,21,002,008,21.89306031283139,31.864317671079775,001,2,16,32,relu,relu,adam,0.005,mse,100
