number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,number_hyp_par_grid_lr,rmse_train,rmse_test
001,006,base,007,7,7,14,002,009,001,15.063589338176037,20.506757933329304
001,006,base,007,7,7,14,002,010,001,15.510035604468886,20.717367917048577
001,006,base,007,7,7,14,002,011,001,15.59179726286253,7.355890196831643
001,006,base,007,7,7,14,002,012,001,15.302514677852168,7.566330626519751
001,006,base,008,7,7,21,002,001,001,1.1637689091799072e-12,533.3310909181998
001,006,base,008,7,7,21,002,002,001,1.0412851773226728,97.2315947021746
001,006,base,008,7,7,21,002,003,001,7.064820051494792,43.73773862491442
001,006,base,008,7,7,21,002,004,001,9.437176391491375,14.562089492722222
001,006,base,008,7,7,21,002,005,001,9.921135798585272,14.76723320197296
001,006,base,008,7,7,21,002,006,001,10.028162150635708,19.912360843239217
001,006,base,008,7,7,21,002,007,001,10.397585399005818,62.06183604102464
001,006,base,008,7,7,21,002,008,001,11.885521569425077,37.98225106027552
001,006,base,008,7,7,21,002,009,001,14.523640143128661,20.107301999908934
001,006,base,008,7,7,21,002,010,001,14.98014036666079,23.446547932512164
001,006,base,008,7,7,21,002,011,001,15.208975628896697,9.02989535989375
001,006,base,008,7,7,21,002,012,001,14.976368880231052,7.55077969025982
001,006,base,009,7,7,28,002,001,001,4.899515144165142e-14,28.78182991716925
001,006,base,009,7,7,28,002,002,001,8.852763545879863e-14,86.22693358472594
001,006,base,009,7,7,28,002,003,001,4.955501846751178,70.81041871888104
001,006,base,009,7,7,28,002,004,001,8.477082137912713,15.835820869443635
001,006,base,009,7,7,28,002,005,001,9.170415318352356,18.01470786168095
001,006,base,009,7,7,28,002,006,001,9.546483644509099,22.079711822489337
001,006,base,009,7,7,28,002,007,001,9.937249685988121,53.94201809477182
001,006,base,009,7,7,28,002,008,001,11.070800828275893,41.52562732309592
001,006,base,009,7,7,28,002,009,001,14.0727415549526,19.219101294142444
001,006,base,009,7,7,28,002,010,001,14.51648102986576,27.38016290223762
001,006,base,009,7,7,28,002,011,001,14.906937588672802,10.539125452102011
001,006,base,009,7,7,28,002,012,001,14.735446948457902,8.436244957264739
001,006,base,010,7,7,35,002,001,001,2.429057400413829e-14,12.589416528113507
001,006,base,010,7,7,35,002,002,001,8.717217349646819e-14,70.91958618181839
001,006,base,010,7,7,35,002,003,001,2.882521525333389,105.80422453752705
001,006,base,010,7,7,35,002,004,001,6.984065608540211,19.2186805743704
001,006,base,010,7,7,35,002,005,001,8.256529532120593,26.97042561720937
001,006,base,010,7,7,35,002,006,001,9.017771209545856,22.20406554219858
