number_xy,number_combination_features,name_data_set,number_grid_combinations_kNp_dates_train_test,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,number_hyp_par_grid,number_hyp_par_subgrid
001,001,base,002,001,0,7,7,002,004,001,28
001,001,base,002,001,0,7,7,002,004,001,29
001,001,base,002,001,0,7,7,002,004,001,30
001,001,base,002,001,0,7,7,002,004,001,31
001,001,base,002,001,0,7,7,002,004,001,32
001,001,base,002,001,0,7,7,002,004,001,33
001,001,base,002,001,0,7,7,002,004,001,34
001,001,base,002,001,0,7,7,002,004,001,35
001,001,base,002,001,0,7,7,002,004,001,36
001,001,base,002,001,0,7,7,002,004,001,37
001,001,base,002,001,0,7,7,002,004,001,38
001,001,base,002,001,0,7,7,002,004,001,39
001,001,base,002,001,0,7,7,002,004,001,40
001,001,base,002,001,0,7,7,002,004,001,41
001,001,base,002,001,0,7,7,002,004,001,42
001,001,base,002,001,0,7,7,002,004,001,43
001,001,base,002,001,0,7,7,002,004,001,44
001,001,base,002,001,0,7,7,002,004,001,45
001,001,base,002,001,0,7,7,002,004,001,46
001,001,base,002,001,0,7,7,002,004,001,47
001,001,base,002,001,0,7,7,002,004,001,48
001,001,base,002,001,0,7,7,002,004,001,49
001,001,base,002,001,0,7,7,002,004,001,50
001,001,base,002,001,0,7,7,002,005,001,1
001,001,base,002,001,0,7,7,002,005,001,2
001,001,base,002,001,0,7,7,002,005,001,3
001,001,base,002,001,0,7,7,002,005,001,4
001,001,base,002,001,0,7,7,002,005,001,5
001,001,base,002,001,0,7,7,002,005,001,6
001,001,base,002,001,0,7,7,002,005,001,7
001,001,base,002,001,0,7,7,002,005,001,8
001,001,base,002,001,0,7,7,002,005,001,9
001,001,base,002,001,0,7,7,002,005,001,10
001,001,base,002,001,0,7,7,002,005,001,11
001,001,base,002,001,0,7,7,002,005,001,12
001,001,base,002,001,0,7,7,002,005,001,13
001,001,base,002,001,0,7,7,002,005,001,14
001,001,base,002,001,0,7,7,002,005,001,15
001,001,base,002,001,0,7,7,002,005,001,16
001,001,base,002,001,0,7,7,002,005,001,17
001,001,base,002,001,0,7,7,002,005,001,18
001,001,base,002,001,0,7,7,002,005,001,19
001,001,base,002,001,0,7,7,002,005,001,20
001,001,base,002,001,0,7,7,002,005,001,21
001,001,base,002,001,0,7,7,002,005,001,22
001,001,base,002,001,0,7,7,002,005,001,23
001,001,base,002,001,0,7,7,002,005,001,24
001,001,base,002,001,0,7,7,002,005,001,25
001,001,base,002,001,0,7,7,002,005,001,26
001,001,base,002,001,0,7,7,002,005,001,27
001,001,base,002,001,0,7,7,002,005,001,28
001,001,base,002,001,0,7,7,002,005,001,29
001,001,base,002,001,0,7,7,002,005,001,30
001,001,base,002,001,0,7,7,002,005,001,31
001,001,base,002,001,0,7,7,002,005,001,32
001,001,base,002,001,0,7,7,002,005,001,33
001,001,base,002,001,0,7,7,002,005,001,34
001,001,base,002,001,0,7,7,002,005,001,35
001,001,base,002,001,0,7,7,002,005,001,36
001,001,base,002,001,0,7,7,002,005,001,37
001,001,base,002,001,0,7,7,002,005,001,38
001,001,base,002,001,0,7,7,002,005,001,39
001,001,base,002,001,0,7,7,002,005,001,40
001,001,base,002,001,0,7,7,002,005,001,41
001,001,base,002,001,0,7,7,002,005,001,42
001,001,base,002,001,0,7,7,002,005,001,43
001,001,base,002,001,0,7,7,002,005,001,44
001,001,base,002,001,0,7,7,002,005,001,45
001,001,base,002,001,0,7,7,002,005,001,46
001,001,base,002,001,0,7,7,002,005,001,47
001,001,base,002,001,0,7,7,002,005,001,48
001,001,base,002,001,0,7,7,002,005,001,49
001,001,base,002,001,0,7,7,002,005,001,50
001,001,base,002,001,0,7,7,002,006,001,1
001,001,base,002,001,0,7,7,002,006,001,2
001,001,base,002,001,0,7,7,002,006,001,3
001,001,base,002,001,0,7,7,002,006,001,4
001,001,base,002,001,0,7,7,002,006,001,5
001,001,base,002,001,0,7,7,002,006,001,6
001,001,base,002,001,0,7,7,002,006,001,7
001,001,base,002,001,0,7,7,002,006,001,8
001,001,base,002,001,0,7,7,002,006,001,9
001,001,base,002,001,0,7,7,002,006,001,10
001,001,base,002,001,0,7,7,002,006,001,11
001,001,base,002,001,0,7,7,002,006,001,12
001,001,base,002,001,0,7,7,002,006,001,13
001,001,base,002,001,0,7,7,002,006,001,14
001,001,base,002,001,0,7,7,002,006,001,15
001,001,base,002,001,0,7,7,002,006,001,16
001,001,base,002,001,0,7,7,002,006,001,17
001,001,base,002,001,0,7,7,002,006,001,18
001,001,base,002,001,0,7,7,002,006,001,19
001,001,base,002,001,0,7,7,002,006,001,20
001,001,base,002,001,0,7,7,002,006,001,21
001,001,base,002,001,0,7,7,002,006,001,22
001,001,base,002,001,0,7,7,002,006,001,23
001,001,base,002,001,0,7,7,002,006,001,24
001,001,base,002,001,0,7,7,002,006,001,25
001,001,base,002,001,0,7,7,002,006,001,26
001,001,base,002,001,0,7,7,002,006,001,27
001,001,base,002,001,0,7,7,002,006,001,28
001,001,base,002,001,0,7,7,002,006,001,29
001,001,base,002,001,0,7,7,002,006,001,30
001,001,base,002,001,0,7,7,002,006,001,31
001,001,base,002,001,0,7,7,002,006,001,32
001,001,base,002,001,0,7,7,002,006,001,33
001,001,base,002,001,0,7,7,002,006,001,34
001,001,base,002,001,0,7,7,002,006,001,35
001,001,base,002,001,0,7,7,002,006,001,36
001,001,base,002,001,0,7,7,002,006,001,37
001,001,base,002,001,0,7,7,002,006,001,38
001,001,base,002,001,0,7,7,002,006,001,39
001,001,base,002,001,0,7,7,002,006,001,40
001,001,base,002,001,0,7,7,002,006,001,41
001,001,base,002,001,0,7,7,002,006,001,42
001,001,base,002,001,0,7,7,002,006,001,43
001,001,base,002,001,0,7,7,002,006,001,44
