number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_train,rmse_test,number_hyp_par_grid_nn,nlayers,nneurons_one,nneurons_two,act_function_one,act_function_two,optimizer,learning_rate,loss_function,nepochs
001,000,age,013,14,7,21,006,002,31.106185645003748,16.142364056838943,003,2,16,32,relu,relu,adam,5e-4,mse,10
001,000,age,014,14,7,28,006,002,26.868201704648712,16.267461581627245,003,2,16,32,relu,relu,adam,0.001,mse,10
001,000,age,015,14,7,35,006,002,26.57443375178175,15.876101092779244,003,2,16,32,relu,relu,adam,0.001,mse,10
001,000,age,016,21,7,7,006,002,34.38523953585135,17.081030432548218,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,000,age,017,21,7,14,006,002,34.46596424174364,17.571522943091658,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,000,age,018,21,7,21,006,002,35.49529546857989,17.87670035646621,003,2,16,32,relu,relu,adam,5e-4,mse,10
001,000,age,019,21,7,28,006,002,30.118038708246747,18.254278924307908,003,2,16,16,relu,relu,adam,0.001,mse,10
001,000,age,020,21,7,35,006,002,33.53841237026912,18.2233524683402,003,2,16,32,relu,relu,adam,5e-4,mse,10
001,000,age,021,28,7,7,006,002,37.772582587096466,18.466465996662798,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,000,age,022,28,7,14,006,002,37.04706570161505,18.972127319105297,003,2,32,16,relu,relu,adam,5e-4,mse,10
001,000,age,023,28,7,21,006,002,39.014912696516426,19.00073238688314,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,000,age,024,28,7,28,006,002,38.0411525288914,19.574272830478176,003,2,16,8,relu,relu,adam,5e-4,mse,10
001,000,age,025,28,7,35,006,002,36.83120561743565,19.77435716641905,003,2,16,16,relu,relu,adam,5e-4,mse,10
001,000,age,001,0,7,7,006,003,8.65297126099224,7.24461145488456,003,2,16,32,relu,relu,adam,0.002,mse,50
001,000,age,002,0,7,14,006,003,14.540506983306154,7.384658319628031,003,1,32,0,relu,none,adam,5e-4,mse,10
001,000,age,003,0,7,21,006,003,14.973278430930403,6.636669821862454,003,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,004,0,7,28,006,003,14.81384420201931,6.498995119000758,003,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,005,0,7,35,006,003,14.145118308415116,7.226575170606472,003,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,006,7,7,7,006,003,20.21943786957069,8.958966393478505,003,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,007,7,7,14,006,003,20.918490993689442,6.96085208275682,003,1,16,0,relu,none,adam,5e-4,mse,10
001,000,age,008,7,7,21,006,003,20.791363091114725,6.586336652223243,003,1,16,0,relu,none,adam,5e-4,mse,10
